index	value	flag
931	17225	0
932	17461	0
933	17774	0
934	17129	0
935	18050	0
936	17570	0
937	17502	0
938	17629	0
939	16961	0
940	17128	0
941	17144	0
942	17835	0
943	17027	0
944	16873	0
945	18182	0
946	16830	0
947	17226	0
948	17666	0
949	17859	0
950	16492	0
951	17843	0
952	17294	0
953	17638	0
954	16987	0
955	16893	0
956	17258	0
957	17977	0
958	17835	0
959	16838	0
960	17358	0
961	17451	0
962	17922	0
963	17257	0
964	17137	0
965	18357	0
966	16893	0
967	18066	0
968	16134	0
969	16805	0
970	17645	0
971	17174	0
972	17873	0
973	17226	0
974	17570	0
975	17982	0
976	16830	0
977	17462	0
978	16401	0
979	16054	0
980	16898	0
981	17630	0
982	16893	0
983	16529	0
984	17334	0
985	17000	0
986	16733	0
987	16766	0
988	17065	0
989	18179	0
990	16934	0
991	17261	0
992	17226	0
993	17426	0
994	16106	0
995	17105	0
996	17226	0
997	18353	0
998	17229	0
999	17226	0
1000	16934	0
1001	16829	0
1002	17507	0
1003	17334	0
1004	16830	0
1005	17534	0
1006	16733	0
1007	18292	0
1008	15192	0
1009	17606	0
1010	17630	0
1011	18259	0
1012	17241	0
1013	17057	0
1014	17633	0
1015	17057	0
1016	17666	0
1017	16890	0
1018	16893	0
1019	17412	0
1020	16728	0
1021	17198	0
1022	16813	0
1023	17377	0
1024	17065	0
1025	18082	0
1026	16926	0
1027	17057	0
1028	17225	0
1029	16725	0
1030	17915	0
1031	17435	0
1032	16725	0
1033	17665	0
1034	16534	0
1035	17427	0
1036	17065	0
1037	16650	0
1038	16808	0
1039	16766	0
1040	16364	0
1041	17226	0
1042	16400	0
1043	17057	0
1044	16830	0
1045	16332	0
1046	18354	0
1047	17226	0
1048	16725	0
1049	17241	0
1050	17110	0
1051	17809	0
1052	17750	0
1053	18090	0
1054	17334	0
1055	18203	0
1056	17386	0
1057	18050	0
1058	16251	0
1059	16728	0
1060	17261	0
1061	18126	0
1062	17334	0
1063	16805	0
1064	16974	0
1065	17342	0
1066	16890	0
1067	17334	0
1068	18189	0
1069	17137	0
1070	17674	0
1071	17174	0
1072	17132	0
1073	17569	0
1074	17302	0
1075	18893	0
1076	16137	0
1077	16259	0
1078	17226	0
1079	16805	0
1080	17835	0
1081	17334	0
1082	17730	0
1083	17027	0
1084	17226	0
1085	18050	0
1086	18254	0
1087	16787	0
1088	17179	0
1089	17795	0
1090	18675	0
1091	17137	0
1092	17154	0
1093	22019	0
1094	17835	0
1095	16890	0
1096	16859	0
1097	16724	0
1098	16929	0
1099	16337	0
1100	17099	0
1101	17349	0
1102	17137	0
1103	17427	0
1104	15965	0
1105	17809	0
1106	16890	0
1107	17302	0
1108	17630	0
1109	17027	0
1110	17056	0
1111	16670	0
1112	17349	0
1113	17013	0
1114	17378	0
1115	18014	0
1116	17129	0
1117	18082	0
1118	16493	0
1119	17750	0
1120	17057	0
1121	17009	0
1122	16401	0
1123	16898	0
1124	16740	0
1125	18385	0
1126	17091	0
1127	17334	0
1128	17923	0
1129	17460	0
