index	value
1459	17774
1460	17757
1461	17757
1462	17757
1463	17492
1464	17739
1465	17729
1466	17742
1467	17450
1468	17461
1469	17197
1470	17197
1471	17211
1472	17198
1473	17211
1474	17211
1475	17226
1476	17229
1477	17229
1478	17229
1479	17229
1480	17229
1481	17229
1482	17229
1483	17229
1484	17229
1485	17229
1486	17492
1487	17492
1488	17492
1489	17757
1490	17492
1491	17492
1492	17211
1493	17211
1494	17211
1495	17211
1496	17210
1497	17210
1498	17198
1499	17477
1500	17461
1501	17477
1502	17474
1503	17739
1504	17754
1505	17489
1506	17753
1507	17753
1508	17753
1509	17753
1510	17754
1511	17753
1512	17753
1513	17488
1514	17489
1515	17225
1516	17225
1517	17225
1518	17225
1519	17489
1520	17492
1521	17754
1522	17754
1523	17754
1524	17754
1525	17754
1526	17489
1527	17489
1528	17754
1529	17492
1530	17229
1531	17492
1532	17774
1533	17774
1534	18041
1535	18024
1536	18041
1537	18021
1538	17754
1539	17729
1540	17729
1541	17715
1542	17715
1543	17715
1544	17729
1545	17726
1546	17729
1547	17742
1548	17729
1549	17742
1550	17742
1551	17729
1552	17726
1553	17985
1554	17715
1555	17729
1556	17996
1557	17742
1558	17729
1559	17739
1560	17474
1561	17210
1562	17214
1563	17201
1564	16937
1565	17201
1566	17464
1567	17742
1568	17477
1569	17474
1570	17738
1571	17738
1572	17725
1573	17460
1574	17460
1575	17460
1576	17725
1577	17725
1578	17739
1579	17738
1580	17474
1581	17474
1582	17473
1583	17753
1584	17473
1585	17473
1586	17226
1587	17226
1588	17489
1589	17226
1590	17226
1591	17226
1592	17226
1593	17225
1594	17489
1595	17211
1596	17226
1597	17211
1598	17226
1599	17226
1600	17214
1601	17214
1602	17226
1603	17229
1604	17229
1605	17229
1606	17229
1607	17229
1608	17492
1609	17757
1610	17742
1611	17489
1612	17754
1613	17754
1614	17489
1615	17489
1616	17489
1617	17489
1618	17489
1619	17754
1620	17754
1621	17757
1622	17757
1623	17757
1624	17489
1625	17489
1626	17489
1627	17489
1628	17489
1629	17488
1630	17488
1631	17738
1632	17739
1633	17489
1634	17489
1635	17489
1636	17489
1637	17757
1638	17757
1639	17492
1640	17757
1641	17757
1642	17757
1643	18024
1644	17771
1645	17753
1646	17754
1647	17754
1648	17489
1649	17211
1650	17197
1651	17198
1652	17198
1653	17229
1654	17214
1655	17226
1656	17229
1657	17492
1658	17229
1659	17229
1660	17492
1661	17757
1662	17757
1663	17509
1664	17509
1665	17262
1666	17242
1667	17489
1668	17226
1669	17474
1670	17489
1671	17754
1672	17754
1673	17754
1674	17753
1675	17753
1676	17770
1677	17770
1678	17489
1679	17753
1680	17473
1681	17473
1682	17473
1683	17473
1684	17473
1685	17489
1686	17489
1687	17492
1688	17492
1689	17757
1690	17779
1691	17762
1692	17497
1693	17492
1694	17514
1695	17509
1696	17246
1697	17229
1698	17229
1699	17214
1700	17492
1701	17214
1702	17214
1703	17214
1704	17477
1705	17211
1706	17474
1707	17473
1708	17473
1709	17739
1710	17726
1711	17726
1712	17738
1713	17474
1714	17474
1715	17477
1716	17214
1717	17198
1718	17211
1719	17226
1720	17214
1721	17214
1722	17214
1723	16694
1724	16953
1725	17229
1726	17214
1727	17201
1728	17461
1729	17461
1730	17729
1731	17715
1732	17726
1733	17726
1734	17461
1735	17474
1736	17754
1737	17489
1738	17226
1739	17226
1740	17225
1741	17226
1742	17211
1743	17198
1744	17187
1745	17461
1746	17450
1747	17726
1748	17726
1749	17726
1750	17726
1751	17729
1752	17726
1753	17464
1754	17726
1755	17474
1756	17461
1757	17214
1758	17229
1759	17492
1760	17757
1761	17229
1762	17489
1763	17226
1764	17488
1765	17473
1766	17473
1767	17225
1768	17225
1769	17473
1770	17210
1771	17753
1772	17753
1773	17488
1774	17225
1775	17225
1776	17488
1777	17753
1778	17753
1779	17489
1780	17474
1781	17214
1782	17477
1783	17464
1784	17201
1785	17453
1786	17201
1787	17201
1788	17214
1789	17474
1790	17226
1791	17474
1792	17210
1793	17197
1794	17197
1795	17197
1796	17460
1797	17187
1798	17187
1799	17187
1800	17190
1801	17453
1802	17715
1803	17715
1804	17460
1805	17738
1806	17738
1807	17738
1808	17753
1809	17753
1810	17754
1811	17754
1812	17754
1813	17754
1814	17754
1815	17757
1816	17489
1817	17488
1818	17488
1819	17473
1820	17488
1821	17753
1822	17739
1823	17754
1824	17754
1825	17739
1826	17739
1827	17726
1828	18009
1829	17739
1830	17738
1831	17739
1832	17754
1833	17757
1834	17757
1835	17757
1836	17489
1837	17509
1838	17492
1839	17492
1840	17754
1841	17754
1842	17505
1843	17488
1844	17753
1845	17753
1846	17753
1847	17738
1848	17753
1849	17738
1850	17738
1851	17739
1852	17739
1853	17739
1854	17489
